etykieta,checkpoint,epoka_lub_iteracja,fragment,exact_match,content_f1,order_tau,missing,hallucinated,levenshtein,bleu,rouge_l,failure_rate
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,5,0.844,0.9602444444444446,0.9937777777777779,0.416,0.372,0.942,0.9347776261149293,0.9594444444444444,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,6,0.972,0.9934,0.9995238095238095,0.066,0.066,0.9887999999999999,0.9912987768296514,0.9934,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,8,0.986,0.9965636363636363,1.0,0.036,0.018,0.9956,0.9949817558946839,0.9965636363636363,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,3,0.36,0.6215579979360166,0.9597380952380952,3.796,3.748,0.5502,0.49146099669225785,0.6175579979360165,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,4,0.732,0.8855641025641026,0.9886190476190476,1.14,1.168,0.8459142857142858,0.8346256730879893,0.8833641025641025,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,5,0.912,0.9723686202686204,0.9964952380952382,0.282,0.268,0.9614136363636364,0.9547334076113657,0.9715686202686203,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,6,0.968,0.9912000000000001,0.9989333333333333,0.088,0.088,0.9858,0.9873128940947042,0.991,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,8,0.998,0.9996,1.0,0.004,0.004,0.9994,0.9992778862084926,0.9996,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,3,0.364,0.6372921568627451,0.9719507936507937,3.706,3.332,0.5764,0.4988684086784987,0.6350568627450981,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,4,0.672,0.8622119658119658,0.9779761904761903,1.382,1.364,0.8152,0.792275579644398,0.8597897435897435,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,5,0.874,0.9628764705882352,0.9926714285714284,0.372,0.374,0.9492285714285714,0.9370038426421583,0.9622764705882353,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,6,0.95,0.99,0.9997777777777779,0.1,0.1,0.983,0.9857738377119822,0.9897999999999999,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,8,0.986,0.9984,1.0,0.016,0.016,0.9967999999999999,0.9972530675389326,0.9984,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,3,0.292,0.5808,0.9627333333333333,4.196,4.176,0.5103,0.43647260309326963,0.5786,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,4,0.666,0.8473999999999999,0.9799952380952381,1.526,1.526,0.8046,0.7725259811873598,0.8452000000000001,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,5,0.814,0.9466000000000001,0.9950999999999999,0.534,0.534,0.9224000000000001,0.9069558980828281,0.9453999999999999,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,6,0.948,0.9877999999999999,0.9992873015873015,0.122,0.122,0.9794,0.977040642653808,0.9873999999999999,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,8,0.976,0.9965999999999999,1.0,0.034,0.034,0.9937999999999999,0.9929044555507706,0.9965999999999999,0.0
PPO ROUGE-L z7 (1000 iter),runs/ppo_glowny_rouge_l_seed7/best.pt,940,3,0.348,0.6286666666666667,0.9583666666666667,3.74,3.606,0.5531999999999999,0.49936056850455746,0.6272166666666666,0.0
PPO ROUGE-L z7 (1000 iter),runs/ppo_glowny_rouge_l_seed7/best.pt,940,4,0.686,0.872523076923077,0.9839444444444443,1.278,1.264,0.8274000000000001,0.802112131438837,0.869123076923077,0.0
PPO ROUGE-L z7 (1000 iter),runs/ppo_glowny_rouge_l_seed7/best.pt,940,5,0.9,0.9706,0.9964460317460319,0.294,0.294,0.9544,0.9495971850560088,0.9692000000000001,0.0
PPO ROUGE-L z7 (1000 iter),runs/ppo_glowny_rouge_l_seed7/best.pt,940,6,0.938,0.988,0.9997777777777779,0.12,0.12,0.9798,0.9823911746087263,0.988,0.0
PPO ROUGE-L z7 (1000 iter),runs/ppo_glowny_rouge_l_seed7/best.pt,940,8,0.982,0.9982000000000001,0.9997777777777779,0.018,0.018,0.9964,0.9970079813894074,0.9982000000000001,0.0
PPO Levenshtein z1234 (3000 iter),runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,3,0.588,0.760812515915457,0.9657190476190476,2.432,2.236,0.7138,0.6752089097718985,0.759212515915457,0.0
PPO Levenshtein z1234 (3000 iter),runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,4,0.854,0.9333109470508851,0.9910761904761906,0.66,0.688,0.9187428571428571,0.9049689569103534,0.9329109470508852,0.0
PPO Levenshtein z1234 (3000 iter),runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,5,0.964,0.9876222222222223,0.9995238095238095,0.13,0.114,0.984,0.9801750336865058,0.9874222222222222,0.0
PPO Levenshtein z1234 (3000 iter),runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,6,0.992,0.9974000000000001,1.0,0.026,0.026,0.997,0.9957692201277883,0.9974000000000001,0.0
PPO Levenshtein z1234 (3000 iter),runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
PPO Levenshtein z2025 (3000 iter),runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,3,0.534,0.720215406601512,0.9780825396825397,2.82,2.6,0.6772526315789473,0.6361234781124921,0.718944818366218,0.0
PPO Levenshtein z2025 (3000 iter),runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,4,0.832,0.9195499404620148,0.994411111111111,0.818,0.74,0.8996,0.8861682761487015,0.9185499404620148,0.0
PPO Levenshtein z2025 (3000 iter),runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,5,0.97,0.9914,0.9987999999999999,0.086,0.086,0.987,0.9849782262389074,0.9914,0.0
PPO Levenshtein z2025 (3000 iter),runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,6,0.984,0.9951032258064516,0.9988253968253968,0.044,0.066,0.9928666666666666,0.9926288112572195,0.9947032258064517,0.0
PPO Levenshtein z2025 (3000 iter),runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,8,0.998,0.9996,1.0,0.004,0.004,0.9992000000000001,0.9994372164478523,0.9996,0.0
PPO Levenshtein z7 (3000 iter),runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,3,0.57,0.7600443977591036,0.9789222222222222,2.476,2.13,0.7146,0.6737377973715497,0.7577943977591036,0.0
PPO Levenshtein z7 (3000 iter),runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,4,0.852,0.9417000000000001,0.994942857142857,0.576,0.6,0.9259714285714287,0.9181339754242178,0.9413666666666667,0.0
PPO Levenshtein z7 (3000 iter),runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,5,0.956,0.9849613445378151,0.9978555555555556,0.152,0.148,0.9810363636363636,0.9754220133728027,0.9847613445378152,0.0
PPO Levenshtein z7 (3000 iter),runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,6,0.992,0.9976,1.0,0.024,0.024,0.997,0.9963940081151725,0.9976,0.0
PPO Levenshtein z7 (3000 iter),runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
