metric,iteration,pole,mean,std,n
levenshtein,0,eval_exact_match,0.815,0.0,1
levenshtein,10,eval_exact_match,0.85,0.0,1
levenshtein,20,eval_exact_match,0.855,0.0,1
levenshtein,30,eval_exact_match,0.845,0.0,1
levenshtein,40,eval_exact_match,0.845,0.0,1
levenshtein,50,eval_exact_match,0.85,0.0,1
levenshtein,60,eval_exact_match,0.85,0.0,1
levenshtein,70,eval_exact_match,0.87,0.0,1
levenshtein,80,eval_exact_match,0.885,0.0,1
levenshtein,90,eval_exact_match,0.9,0.0,1
levenshtein,100,eval_exact_match,0.9,0.0,1
levenshtein,110,eval_exact_match,0.895,0.0,1
levenshtein,120,eval_exact_match,0.885,0.0,1
levenshtein,130,eval_exact_match,0.9,0.0,1
levenshtein,140,eval_exact_match,0.905,0.0,1
levenshtein,0,eval_content_f1,0.96,0.0,1
levenshtein,10,eval_content_f1,0.9645,0.0,1
levenshtein,20,eval_content_f1,0.96,0.0,1
levenshtein,30,eval_content_f1,0.962,0.0,1
levenshtein,40,eval_content_f1,0.961,0.0,1
levenshtein,50,eval_content_f1,0.9625,0.0,1
levenshtein,60,eval_content_f1,0.9675,0.0,1
levenshtein,70,eval_content_f1,0.967,0.0,1
levenshtein,80,eval_content_f1,0.9695,0.0,1
levenshtein,90,eval_content_f1,0.977,0.0,1
levenshtein,100,eval_content_f1,0.9735,0.0,1
levenshtein,110,eval_content_f1,0.97,0.0,1
levenshtein,120,eval_content_f1,0.9725,0.0,1
levenshtein,130,eval_content_f1,0.9765,0.0,1
levenshtein,140,eval_content_f1,0.9775,0.0,1
levenshtein,0,reward_mean,0.678906,0.0,1
levenshtein,1,reward_mean,0.695312,0.0,1
levenshtein,2,reward_mean,0.642969,0.0,1
levenshtein,3,reward_mean,0.639453,0.0,1
levenshtein,4,reward_mean,0.65625,0.0,1
levenshtein,5,reward_mean,0.595313,0.0,1
levenshtein,6,reward_mean,0.617327,0.0,1
levenshtein,7,reward_mean,0.604393,0.0,1
levenshtein,8,reward_mean,0.625391,0.0,1
levenshtein,9,reward_mean,0.622266,0.0,1
levenshtein,10,reward_mean,0.658203,0.0,1
levenshtein,11,reward_mean,0.664453,0.0,1
levenshtein,12,reward_mean,0.664709,0.0,1
levenshtein,13,reward_mean,0.639844,0.0,1
levenshtein,14,reward_mean,0.629297,0.0,1
levenshtein,15,reward_mean,0.689844,0.0,1
levenshtein,16,reward_mean,0.649023,0.0,1
levenshtein,17,reward_mean,0.666016,0.0,1
levenshtein,18,reward_mean,0.679297,0.0,1
levenshtein,19,reward_mean,0.655078,0.0,1
levenshtein,20,reward_mean,0.689453,0.0,1
levenshtein,21,reward_mean,0.651901,0.0,1
levenshtein,22,reward_mean,0.649219,0.0,1
levenshtein,23,reward_mean,0.675781,0.0,1
levenshtein,24,reward_mean,0.642969,0.0,1
levenshtein,25,reward_mean,0.669922,0.0,1
levenshtein,26,reward_mean,0.705078,0.0,1
levenshtein,27,reward_mean,0.656641,0.0,1
levenshtein,28,reward_mean,0.642188,0.0,1
levenshtein,29,reward_mean,0.696224,0.0,1
levenshtein,30,reward_mean,0.650195,0.0,1
levenshtein,31,reward_mean,0.704297,0.0,1
levenshtein,32,reward_mean,0.709635,0.0,1
levenshtein,33,reward_mean,0.651456,0.0,1
levenshtein,34,reward_mean,0.700781,0.0,1
levenshtein,35,reward_mean,0.699929,0.0,1
levenshtein,36,reward_mean,0.671875,0.0,1
levenshtein,37,reward_mean,0.657031,0.0,1
levenshtein,38,reward_mean,0.690661,0.0,1
levenshtein,39,reward_mean,0.663281,0.0,1
levenshtein,40,reward_mean,0.671875,0.0,1
levenshtein,41,reward_mean,0.678906,0.0,1
levenshtein,42,reward_mean,0.673828,0.0,1
levenshtein,43,reward_mean,0.673864,0.0,1
levenshtein,44,reward_mean,0.674609,0.0,1
levenshtein,45,reward_mean,0.655273,0.0,1
levenshtein,46,reward_mean,0.651339,0.0,1
levenshtein,47,reward_mean,0.632031,0.0,1
levenshtein,48,reward_mean,0.655962,0.0,1
levenshtein,49,reward_mean,0.685547,0.0,1
levenshtein,50,reward_mean,0.689844,0.0,1
levenshtein,51,reward_mean,0.696094,0.0,1
levenshtein,52,reward_mean,0.685794,0.0,1
levenshtein,53,reward_mean,0.654492,0.0,1
levenshtein,54,reward_mean,0.673935,0.0,1
levenshtein,55,reward_mean,0.650391,0.0,1
levenshtein,56,reward_mean,0.66769,0.0,1
levenshtein,57,reward_mean,0.691797,0.0,1
levenshtein,58,reward_mean,0.648544,0.0,1
levenshtein,59,reward_mean,0.654687,0.0,1
levenshtein,60,reward_mean,0.664258,0.0,1
levenshtein,61,reward_mean,0.694141,0.0,1
levenshtein,62,reward_mean,0.678516,0.0,1
levenshtein,63,reward_mean,0.710547,0.0,1
levenshtein,64,reward_mean,0.684766,0.0,1
levenshtein,65,reward_mean,0.658203,0.0,1
levenshtein,66,reward_mean,0.689453,0.0,1
levenshtein,67,reward_mean,0.660263,0.0,1
levenshtein,68,reward_mean,0.644531,0.0,1
levenshtein,69,reward_mean,0.660937,0.0,1
levenshtein,70,reward_mean,0.646484,0.0,1
levenshtein,71,reward_mean,0.650781,0.0,1
levenshtein,72,reward_mean,0.67394,0.0,1
levenshtein,73,reward_mean,0.675279,0.0,1
levenshtein,74,reward_mean,0.721484,0.0,1
levenshtein,75,reward_mean,0.679297,0.0,1
levenshtein,76,reward_mean,0.694957,0.0,1
levenshtein,77,reward_mean,0.686719,0.0,1
levenshtein,78,reward_mean,0.672266,0.0,1
levenshtein,79,reward_mean,0.705924,0.0,1
levenshtein,80,reward_mean,0.70625,0.0,1
levenshtein,81,reward_mean,0.702539,0.0,1
levenshtein,82,reward_mean,0.647762,0.0,1
levenshtein,83,reward_mean,0.719201,0.0,1
levenshtein,84,reward_mean,0.670312,0.0,1
levenshtein,85,reward_mean,0.674609,0.0,1
levenshtein,86,reward_mean,0.676562,0.0,1
levenshtein,87,reward_mean,0.686719,0.0,1
levenshtein,88,reward_mean,0.691406,0.0,1
levenshtein,89,reward_mean,0.680078,0.0,1
levenshtein,90,reward_mean,0.69478,0.0,1
levenshtein,91,reward_mean,0.659375,0.0,1
levenshtein,92,reward_mean,0.708984,0.0,1
levenshtein,93,reward_mean,0.69375,0.0,1
levenshtein,94,reward_mean,0.689844,0.0,1
levenshtein,95,reward_mean,0.675391,0.0,1
levenshtein,96,reward_mean,0.703906,0.0,1
levenshtein,97,reward_mean,0.686719,0.0,1
levenshtein,98,reward_mean,0.692188,0.0,1
levenshtein,99,reward_mean,0.694531,0.0,1
levenshtein,100,reward_mean,0.716406,0.0,1
levenshtein,101,reward_mean,0.729688,0.0,1
levenshtein,102,reward_mean,0.668359,0.0,1
levenshtein,103,reward_mean,0.703125,0.0,1
levenshtein,104,reward_mean,0.688178,0.0,1
levenshtein,105,reward_mean,0.676172,0.0,1
levenshtein,106,reward_mean,0.703516,0.0,1
levenshtein,107,reward_mean,0.721484,0.0,1
levenshtein,108,reward_mean,0.698002,0.0,1
levenshtein,109,reward_mean,0.703906,0.0,1
levenshtein,110,reward_mean,0.696094,0.0,1
