metric,iteration,pole,mean,std,n
levenshtein,1140,eval_exact_match,0.945,0.014142,3
levenshtein,1150,eval_exact_match,0.96,0.004082,3
levenshtein,1160,eval_exact_match,0.958333,0.011785,3
levenshtein,1170,eval_exact_match,0.953333,0.002357,3
levenshtein,1180,eval_exact_match,0.955,0.004082,3
levenshtein,1190,eval_exact_match,0.958333,0.004714,3
levenshtein,1200,eval_exact_match,0.958333,0.006236,3
levenshtein,1210,eval_exact_match,0.955,0.004082,3
levenshtein,1220,eval_exact_match,0.958333,0.002357,3
levenshtein,1230,eval_exact_match,0.955,0.008165,3
levenshtein,1240,eval_exact_match,0.955,0.0,3
levenshtein,1250,eval_exact_match,0.946667,0.006236,3
levenshtein,1260,eval_exact_match,0.958333,0.002357,3
levenshtein,1270,eval_exact_match,0.961667,0.009428,3
levenshtein,1280,eval_exact_match,0.958333,0.006236,3
levenshtein,1290,eval_exact_match,0.961667,0.009428,3
levenshtein,1300,eval_exact_match,0.961667,0.008498,3
levenshtein,1310,eval_exact_match,0.966667,0.004714,3
levenshtein,1320,eval_exact_match,0.96,0.010801,3
levenshtein,1330,eval_exact_match,0.96,0.008165,3
levenshtein,1340,eval_exact_match,0.968333,0.008498,3
levenshtein,1350,eval_exact_match,0.965,0.007071,3
levenshtein,1360,eval_exact_match,0.961667,0.002357,3
levenshtein,1370,eval_exact_match,0.958333,0.010274,3
levenshtein,1380,eval_exact_match,0.965,0.008165,3
levenshtein,1390,eval_exact_match,0.968333,0.009428,3
levenshtein,1400,eval_exact_match,0.958333,0.013123,3
levenshtein,1410,eval_exact_match,0.971667,0.002357,3
levenshtein,1420,eval_exact_match,0.965,0.004082,3
levenshtein,1430,eval_exact_match,0.963333,0.012472,3
levenshtein,1440,eval_exact_match,0.966667,0.013123,3
levenshtein,1450,eval_exact_match,0.958333,0.016499,3
levenshtein,1460,eval_exact_match,0.961667,0.006236,3
levenshtein,1470,eval_exact_match,0.961667,0.002357,3
levenshtein,1480,eval_exact_match,0.961667,0.010274,3
levenshtein,1490,eval_exact_match,0.955,0.004082,3
levenshtein,1500,eval_exact_match,0.97,0.008165,3
levenshtein,1510,eval_exact_match,0.965,0.012247,3
levenshtein,1520,eval_exact_match,0.965,0.0,3
levenshtein,1530,eval_exact_match,0.968333,0.004714,3
levenshtein,1540,eval_exact_match,0.97,0.004082,3
levenshtein,1550,eval_exact_match,0.958333,0.014337,3
levenshtein,1560,eval_exact_match,0.961667,0.004714,3
levenshtein,1570,eval_exact_match,0.973333,0.009428,3
levenshtein,1580,eval_exact_match,0.968333,0.002357,3
levenshtein,1590,eval_exact_match,0.965,0.008165,3
levenshtein,1600,eval_exact_match,0.968333,0.006236,3
levenshtein,1610,eval_exact_match,0.97,0.008165,3
levenshtein,1620,eval_exact_match,0.966667,0.002357,3
levenshtein,1630,eval_exact_match,0.97,0.014142,3
levenshtein,1640,eval_exact_match,0.96,0.007071,3
levenshtein,1650,eval_exact_match,0.961667,0.002357,3
levenshtein,1660,eval_exact_match,0.968333,0.010274,3
levenshtein,1670,eval_exact_match,0.963333,0.002357,3
levenshtein,1680,eval_exact_match,0.968333,0.004714,3
levenshtein,1690,eval_exact_match,0.97,0.01472,3
levenshtein,1700,eval_exact_match,0.975,0.007071,3
levenshtein,1710,eval_exact_match,0.973333,0.008498,3
levenshtein,1720,eval_exact_match,0.981667,0.008498,3
levenshtein,1730,eval_exact_match,0.978333,0.009428,3
levenshtein,1740,eval_exact_match,0.975,0.007071,3
levenshtein,1750,eval_exact_match,0.98,0.004082,3
levenshtein,1760,eval_exact_match,0.976667,0.004714,3
levenshtein,1770,eval_exact_match,0.976667,0.006236,3
