metric,iteration,pole,mean,std,n
levenshtein,79,reward_mean,0.68072,0.0,1
levenshtein,80,reward_mean,0.6375,0.0,1
levenshtein,81,reward_mean,0.649198,0.0,1
levenshtein,82,reward_mean,0.663783,0.0,1
levenshtein,83,reward_mean,0.656671,0.0,1
levenshtein,84,reward_mean,0.642913,0.0,1
levenshtein,85,reward_mean,0.649747,0.0,1
levenshtein,86,reward_mean,0.620703,0.0,1
levenshtein,87,reward_mean,0.615123,0.0,1
levenshtein,88,reward_mean,0.68298,0.0,1
levenshtein,89,reward_mean,0.700781,0.0,1
levenshtein,90,reward_mean,0.676562,0.0,1
levenshtein,91,reward_mean,0.597692,0.0,1
levenshtein,92,reward_mean,0.667578,0.0,1
levenshtein,93,reward_mean,0.631641,0.0,1
levenshtein,94,reward_mean,0.666797,0.0,1
levenshtein,95,reward_mean,0.651423,0.0,1
levenshtein,96,reward_mean,0.662415,0.0,1
levenshtein,97,reward_mean,0.645201,0.0,1
levenshtein,98,reward_mean,0.659654,0.0,1
levenshtein,99,reward_mean,0.670117,0.0,1
levenshtein,100,reward_mean,0.676215,0.0,1
levenshtein,101,reward_mean,0.67726,0.0,1
levenshtein,102,reward_mean,0.639062,0.0,1
levenshtein,103,reward_mean,0.622017,0.0,1
levenshtein,104,reward_mean,0.663616,0.0,1
levenshtein,105,reward_mean,0.64707,0.0,1
levenshtein,106,reward_mean,0.669678,0.0,1
levenshtein,107,reward_mean,0.674609,0.0,1
levenshtein,108,reward_mean,0.690625,0.0,1
levenshtein,109,reward_mean,0.720312,0.0,1
levenshtein,110,reward_mean,0.688941,0.0,1
levenshtein,111,reward_mean,0.683564,0.0,1
levenshtein,112,reward_mean,0.651402,0.0,1
levenshtein,113,reward_mean,0.637029,0.0,1
levenshtein,114,reward_mean,0.61875,0.0,1
levenshtein,115,reward_mean,0.675521,0.0,1
levenshtein,116,reward_mean,0.65599,0.0,1
levenshtein,117,reward_mean,0.664453,0.0,1
levenshtein,118,reward_mean,0.67876,0.0,1
levenshtein,119,reward_mean,0.687695,0.0,1
levenshtein,120,reward_mean,0.669141,0.0,1
levenshtein,121,reward_mean,0.679954,0.0,1
levenshtein,122,reward_mean,0.624777,0.0,1
levenshtein,123,reward_mean,0.712201,0.0,1
levenshtein,124,reward_mean,0.676989,0.0,1
levenshtein,125,reward_mean,0.675391,0.0,1
levenshtein,126,reward_mean,0.685547,0.0,1
levenshtein,127,reward_mean,0.692891,0.0,1
levenshtein,128,reward_mean,0.691471,0.0,1
levenshtein,129,reward_mean,0.689648,0.0,1
levenshtein,130,reward_mean,0.727344,0.0,1
levenshtein,131,reward_mean,0.714027,0.0,1
levenshtein,132,reward_mean,0.674014,0.0,1
levenshtein,133,reward_mean,0.668359,0.0,1
levenshtein,134,reward_mean,0.647656,0.0,1
levenshtein,135,reward_mean,0.660697,0.0,1
levenshtein,136,reward_mean,0.661719,0.0,1
levenshtein,137,reward_mean,0.719531,0.0,1
levenshtein,138,reward_mean,0.703536,0.0,1
levenshtein,139,reward_mean,0.63418,0.0,1
levenshtein,140,reward_mean,0.700335,0.0,1
levenshtein,141,reward_mean,0.699196,0.0,1
levenshtein,142,reward_mean,0.680185,0.0,1
levenshtein,143,reward_mean,0.675391,0.0,1
levenshtein,144,reward_mean,0.684766,0.0,1
levenshtein,145,reward_mean,0.647414,0.0,1
levenshtein,146,reward_mean,0.706445,0.0,1
levenshtein,147,reward_mean,0.665234,0.0,1
levenshtein,148,reward_mean,0.647991,0.0,1
levenshtein,149,reward_mean,0.66606,0.0,1
levenshtein,0,kl_to_reference,0.0,0.0,1
levenshtein,1,kl_to_reference,0.005104,0.0,1
levenshtein,2,kl_to_reference,0.009412,0.0,1
levenshtein,3,kl_to_reference,0.020627,0.0,1
levenshtein,4,kl_to_reference,0.024207,0.0,1
levenshtein,5,kl_to_reference,0.035703,0.0,1
levenshtein,6,kl_to_reference,0.041387,0.0,1
levenshtein,7,kl_to_reference,0.039677,0.0,1
levenshtein,8,kl_to_reference,0.061363,0.0,1
levenshtein,9,kl_to_reference,0.061687,0.0,1
levenshtein,10,kl_to_reference,0.060753,0.0,1
levenshtein,11,kl_to_reference,0.058334,0.0,1
levenshtein,12,kl_to_reference,0.067482,0.0,1
levenshtein,13,kl_to_reference,0.080964,0.0,1
levenshtein,14,kl_to_reference,0.092454,0.0,1
levenshtein,15,kl_to_reference,0.086161,0.0,1
levenshtein,16,kl_to_reference,0.089635,0.0,1
levenshtein,17,kl_to_reference,0.091797,0.0,1
levenshtein,18,kl_to_reference,0.079247,0.0,1
levenshtein,19,kl_to_reference,0.102633,0.0,1
levenshtein,20,kl_to_reference,0.105613,0.0,1
levenshtein,21,kl_to_reference,0.099107,0.0,1
levenshtein,22,kl_to_reference,0.104064,0.0,1
levenshtein,23,kl_to_reference,0.101165,0.0,1
levenshtein,24,kl_to_reference,0.118522,0.0,1
levenshtein,25,kl_to_reference,0.124448,0.0,1
levenshtein,26,kl_to_reference,0.116274,0.0,1
levenshtein,27,kl_to_reference,0.108863,0.0,1
levenshtein,28,kl_to_reference,0.130541,0.0,1
levenshtein,29,kl_to_reference,0.103032,0.0,1
levenshtein,30,kl_to_reference,0.112253,0.0,1
levenshtein,31,kl_to_reference,0.118821,0.0,1
levenshtein,32,kl_to_reference,0.113646,0.0,1
levenshtein,33,kl_to_reference,0.098981,0.0,1
levenshtein,34,kl_to_reference,0.110718,0.0,1
levenshtein,35,kl_to_reference,0.117971,0.0,1
levenshtein,36,kl_to_reference,0.141246,0.0,1
levenshtein,37,kl_to_reference,0.122947,0.0,1
levenshtein,38,kl_to_reference,0.128171,0.0,1
