metric,iteration,pole,mean,std,n
levenshtein,0,eval_exact_match,0.815,0.0,1
levenshtein,10,eval_exact_match,0.8,0.0,1
levenshtein,20,eval_exact_match,0.84,0.0,1
levenshtein,30,eval_exact_match,0.86,0.0,1
levenshtein,40,eval_exact_match,0.85,0.0,1
levenshtein,50,eval_exact_match,0.86,0.0,1
levenshtein,60,eval_exact_match,0.82,0.0,1
levenshtein,70,eval_exact_match,0.85,0.0,1
levenshtein,80,eval_exact_match,0.85,0.0,1
levenshtein,90,eval_exact_match,0.825,0.0,1
levenshtein,100,eval_exact_match,0.845,0.0,1
levenshtein,110,eval_exact_match,0.875,0.0,1
levenshtein,120,eval_exact_match,0.87,0.0,1
levenshtein,130,eval_exact_match,0.88,0.0,1
levenshtein,140,eval_exact_match,0.89,0.0,1
levenshtein,0,eval_content_f1,0.96,0.0,1
levenshtein,10,eval_content_f1,0.9575,0.0,1
levenshtein,20,eval_content_f1,0.9665,0.0,1
levenshtein,30,eval_content_f1,0.9705,0.0,1
levenshtein,40,eval_content_f1,0.9645,0.0,1
levenshtein,50,eval_content_f1,0.9685,0.0,1
levenshtein,60,eval_content_f1,0.9635,0.0,1
levenshtein,70,eval_content_f1,0.966,0.0,1
levenshtein,80,eval_content_f1,0.967,0.0,1
levenshtein,90,eval_content_f1,0.9655,0.0,1
levenshtein,100,eval_content_f1,0.9675,0.0,1
levenshtein,110,eval_content_f1,0.973,0.0,1
levenshtein,120,eval_content_f1,0.974,0.0,1
levenshtein,130,eval_content_f1,0.9755,0.0,1
levenshtein,140,eval_content_f1,0.9745,0.0,1
levenshtein,0,reward_mean,0.678906,0.0,1
levenshtein,1,reward_mean,0.695312,0.0,1
levenshtein,2,reward_mean,0.642969,0.0,1
levenshtein,3,reward_mean,0.640625,0.0,1
levenshtein,4,reward_mean,0.644922,0.0,1
levenshtein,5,reward_mean,0.625391,0.0,1
levenshtein,6,reward_mean,0.6,0.0,1
levenshtein,7,reward_mean,0.604464,0.0,1
levenshtein,8,reward_mean,0.645206,0.0,1
levenshtein,9,reward_mean,0.610866,0.0,1
levenshtein,10,reward_mean,0.670508,0.0,1
levenshtein,11,reward_mean,0.661328,0.0,1
levenshtein,12,reward_mean,0.649219,0.0,1
levenshtein,13,reward_mean,0.623828,0.0,1
levenshtein,14,reward_mean,0.676953,0.0,1
levenshtein,15,reward_mean,0.680603,0.0,1
levenshtein,16,reward_mean,0.642969,0.0,1
levenshtein,17,reward_mean,0.676953,0.0,1
levenshtein,18,reward_mean,0.648888,0.0,1
levenshtein,19,reward_mean,0.68267,0.0,1
levenshtein,20,reward_mean,0.699249,0.0,1
levenshtein,21,reward_mean,0.687109,0.0,1
levenshtein,22,reward_mean,0.64668,0.0,1
levenshtein,23,reward_mean,0.684248,0.0,1
levenshtein,24,reward_mean,0.665625,0.0,1
levenshtein,25,reward_mean,0.677344,0.0,1
levenshtein,26,reward_mean,0.665234,0.0,1
levenshtein,27,reward_mean,0.687305,0.0,1
levenshtein,28,reward_mean,0.650949,0.0,1
levenshtein,29,reward_mean,0.646591,0.0,1
levenshtein,30,reward_mean,0.63125,0.0,1
levenshtein,31,reward_mean,0.657422,0.0,1
levenshtein,32,reward_mean,0.699219,0.0,1
levenshtein,33,reward_mean,0.682031,0.0,1
levenshtein,34,reward_mean,0.678125,0.0,1
levenshtein,35,reward_mean,0.707227,0.0,1
levenshtein,36,reward_mean,0.699609,0.0,1
levenshtein,37,reward_mean,0.620703,0.0,1
levenshtein,38,reward_mean,0.6875,0.0,1
levenshtein,39,reward_mean,0.712109,0.0,1
levenshtein,40,reward_mean,0.655469,0.0,1
levenshtein,41,reward_mean,0.673437,0.0,1
levenshtein,42,reward_mean,0.690767,0.0,1
levenshtein,43,reward_mean,0.660795,0.0,1
levenshtein,44,reward_mean,0.697266,0.0,1
levenshtein,45,reward_mean,0.70347,0.0,1
levenshtein,46,reward_mean,0.689062,0.0,1
levenshtein,47,reward_mean,0.649609,0.0,1
levenshtein,48,reward_mean,0.657378,0.0,1
levenshtein,49,reward_mean,0.679723,0.0,1
levenshtein,50,reward_mean,0.704297,0.0,1
levenshtein,51,reward_mean,0.660937,0.0,1
levenshtein,52,reward_mean,0.68679,0.0,1
levenshtein,53,reward_mean,0.671094,0.0,1
levenshtein,54,reward_mean,0.701367,0.0,1
levenshtein,55,reward_mean,0.680859,0.0,1
levenshtein,56,reward_mean,0.697656,0.0,1
levenshtein,57,reward_mean,0.706925,0.0,1
levenshtein,58,reward_mean,0.638281,0.0,1
levenshtein,59,reward_mean,0.647042,0.0,1
levenshtein,60,reward_mean,0.679501,0.0,1
levenshtein,61,reward_mean,0.689844,0.0,1
levenshtein,62,reward_mean,0.703125,0.0,1
levenshtein,63,reward_mean,0.697656,0.0,1
levenshtein,64,reward_mean,0.679688,0.0,1
levenshtein,65,reward_mean,0.681027,0.0,1
levenshtein,66,reward_mean,0.707812,0.0,1
levenshtein,67,reward_mean,0.694727,0.0,1
levenshtein,68,reward_mean,0.691797,0.0,1
levenshtein,69,reward_mean,0.626412,0.0,1
levenshtein,70,reward_mean,0.680615,0.0,1
levenshtein,71,reward_mean,0.646484,0.0,1
levenshtein,72,reward_mean,0.671484,0.0,1
levenshtein,73,reward_mean,0.7,0.0,1
levenshtein,74,reward_mean,0.666016,0.0,1
levenshtein,75,reward_mean,0.660826,0.0,1
levenshtein,76,reward_mean,0.696875,0.0,1
levenshtein,77,reward_mean,0.681641,0.0,1
levenshtein,78,reward_mean,0.69375,0.0,1
levenshtein,79,reward_mean,0.681641,0.0,1
levenshtein,80,reward_mean,0.682422,0.0,1
levenshtein,81,reward_mean,0.659208,0.0,1
levenshtein,82,reward_mean,0.679241,0.0,1
levenshtein,83,reward_mean,0.692795,0.0,1
levenshtein,84,reward_mean,0.707422,0.0,1
levenshtein,85,reward_mean,0.68125,0.0,1
levenshtein,86,reward_mean,0.672266,0.0,1
levenshtein,87,reward_mean,0.645368,0.0,1
levenshtein,88,reward_mean,0.678125,0.0,1
levenshtein,89,reward_mean,0.699609,0.0,1
levenshtein,90,reward_mean,0.659766,0.0,1
levenshtein,91,reward_mean,0.647266,0.0,1
levenshtein,92,reward_mean,0.673437,0.0,1
levenshtein,93,reward_mean,0.697935,0.0,1
levenshtein,94,reward_mean,0.678161,0.0,1
levenshtein,95,reward_mean,0.698438,0.0,1
levenshtein,96,reward_mean,0.705469,0.0,1
levenshtein,97,reward_mean,0.694922,0.0,1
levenshtein,98,reward_mean,0.675355,0.0,1
levenshtein,99,reward_mean,0.712891,0.0,1
levenshtein,100,reward_mean,0.713672,0.0,1
levenshtein,101,reward_mean,0.684375,0.0,1
levenshtein,102,reward_mean,0.676172,0.0,1
levenshtein,103,reward_mean,0.666016,0.0,1
levenshtein,104,reward_mean,0.676953,0.0,1
levenshtein,105,reward_mean,0.659375,0.0,1
levenshtein,106,reward_mean,0.702344,0.0,1
levenshtein,107,reward_mean,0.672266,0.0,1
levenshtein,108,reward_mean,0.689063,0.0,1
levenshtein,109,reward_mean,0.687891,0.0,1
levenshtein,110,reward_mean,0.708984,0.0,1
levenshtein,111,reward_mean,0.711328,0.0,1
levenshtein,112,reward_mean,0.708203,0.0,1
levenshtein,113,reward_mean,0.723828,0.0,1
levenshtein,114,reward_mean,0.692969,0.0,1
levenshtein,115,reward_mean,0.701562,0.0,1
levenshtein,116,reward_mean,0.682031,0.0,1
levenshtein,117,reward_mean,0.645312,0.0,1
levenshtein,118,reward_mean,0.691584,0.0,1
levenshtein,119,reward_mean,0.717269,0.0,1
levenshtein,120,reward_mean,0.701563,0.0,1
levenshtein,121,reward_mean,0.701562,0.0,1
levenshtein,122,reward_mean,0.669176,0.0,1
levenshtein,123,reward_mean,0.726172,0.0,1
levenshtein,124,reward_mean,0.691016,0.0,1
levenshtein,125,reward_mean,0.685547,0.0,1
levenshtein,126,reward_mean,0.671094,0.0,1
levenshtein,127,reward_mean,0.70026,0.0,1
levenshtein,128,reward_mean,0.695573,0.0,1
levenshtein,129,reward_mean,0.688281,0.0,1
levenshtein,130,reward_mean,0.717578,0.0,1
levenshtein,131,reward_mean,0.717188,0.0,1
levenshtein,132,reward_mean,0.672266,0.0,1
levenshtein,133,reward_mean,0.671484,0.0,1
levenshtein,134,reward_mean,0.662109,0.0,1
levenshtein,135,reward_mean,0.685156,0.0,1
levenshtein,136,reward_mean,0.707161,0.0,1
levenshtein,137,reward_mean,0.709979,0.0,1
levenshtein,138,reward_mean,0.705636,0.0,1
levenshtein,139,reward_mean,0.698828,0.0,1
levenshtein,140,reward_mean,0.682031,0.0,1
levenshtein,141,reward_mean,0.690865,0.0,1
levenshtein,142,reward_mean,0.699219,0.0,1
levenshtein,143,reward_mean,0.679688,0.0,1
levenshtein,144,reward_mean,0.67081,0.0,1
levenshtein,145,reward_mean,0.686044,0.0,1
levenshtein,146,reward_mean,0.723437,0.0,1
levenshtein,147,reward_mean,0.680469,0.0,1
levenshtein,148,reward_mean,0.66237,0.0,1
levenshtein,149,reward_mean,0.710156,0.0,1
levenshtein,0,kl_to_reference,0.0,0.0,1
levenshtein,1,kl_to_reference,0.005104,0.0,1
levenshtein,2,kl_to_reference,0.008625,0.0,1
levenshtein,3,kl_to_reference,0.018328,0.0,1
levenshtein,4,kl_to_reference,0.020827,0.0,1
levenshtein,5,kl_to_reference,0.020428,0.0,1
levenshtein,6,kl_to_reference,0.024119,0.0,1
levenshtein,7,kl_to_reference,0.026851,0.0,1
levenshtein,8,kl_to_reference,0.025547,0.0,1
levenshtein,9,kl_to_reference,0.028185,0.0,1
levenshtein,10,kl_to_reference,0.025431,0.0,1
levenshtein,11,kl_to_reference,0.023012,0.0,1
levenshtein,12,kl_to_reference,0.022055,0.0,1
levenshtein,13,kl_to_reference,0.02488,0.0,1
levenshtein,14,kl_to_reference,0.023086,0.0,1
levenshtein,15,kl_to_reference,0.023228,0.0,1
levenshtein,16,kl_to_reference,0.023246,0.0,1
levenshtein,17,kl_to_reference,0.023032,0.0,1
levenshtein,18,kl_to_reference,0.026078,0.0,1
levenshtein,19,kl_to_reference,0.024863,0.0,1
levenshtein,20,kl_to_reference,0.027948,0.0,1
levenshtein,21,kl_to_reference,0.021923,0.0,1
levenshtein,22,kl_to_reference,0.024334,0.0,1
levenshtein,23,kl_to_reference,0.022136,0.0,1
levenshtein,24,kl_to_reference,0.023677,0.0,1
levenshtein,25,kl_to_reference,0.031275,0.0,1
levenshtein,26,kl_to_reference,0.025858,0.0,1
levenshtein,27,kl_to_reference,0.024254,0.0,1
levenshtein,28,kl_to_reference,0.020507,0.0,1
levenshtein,29,kl_to_reference,0.026488,0.0,1
levenshtein,30,kl_to_reference,0.02857,0.0,1
levenshtein,31,kl_to_reference,0.026177,0.0,1
levenshtein,32,kl_to_reference,0.023371,0.0,1
levenshtein,33,kl_to_reference,0.027041,0.0,1
levenshtein,34,kl_to_reference,0.030314,0.0,1
levenshtein,35,kl_to_reference,0.027107,0.0,1
levenshtein,36,kl_to_reference,0.031635,0.0,1
levenshtein,37,kl_to_reference,0.024798,0.0,1
levenshtein,38,kl_to_reference,0.025736,0.0,1
levenshtein,39,kl_to_reference,0.02256,0.0,1
